origin,destination,count
ae,af,0,19
ae,dz,0,19
ae,ao,-0,01
ae,ar,0,16
ae,am,0,1
ae,au,-1,06
ae,at,0,11
ae,az,0,24
ae,bh,0,9
ae,bd,-0,21
ae,by,0,12
ae,be,0,51
ae,br,0,81
ae,bg,0,17
ae,cm,0,2
ae,ca,-2,96
ae,cl,0,02
ae,cn,0,86
ae,co,0,02
ae,hr,0,16
ae,cy,0,14
ae,cz,0,24
ae,dk,0,13
ae,eg,9,2
ae,et,0,11
ae,fi,0,07
ae,fr,3,19
ae,ge,0,05
ae,de,0,15
ae,gh,0,38
ae,gr,0,43
ae,hk,0,17
ae,hu,0,12
ae,in,91,75
ae,id,0,35
ae,ir,-0,18
ae,iq,-0,2
ae,ie,0,64
ae,it,2,22
ae,jp,0,03
ae,jo,4,93
ae,kz,0,25
ae,ke,0,61
ae,kr,0,34
ae,kw,1,28
ae,lb,4,25
ae,ly,0,2
ae,lu,0,04
ae,mk,0,17
ae,my,0,74
ae,mt,0,03
ae,mu,0,11
ae,mx,0,12
ae,ma,0,76
ae,mm,-0,22
ae,np,0,22
ae,nl,1,02
ae,nz,-0,25
ae,ng,1,36
ae,no,0,14
ae,om,2,11
ae,pk,23,63
ae,ph,10,91
ae,pl,0,54
ae,pt,0,57
ae,qa,2,38
ae,ro,2,15
ae,sa,2,44
ae,rs,0,66
ae,sg,1,47
ae,sk,0,04
ae,za,2,45
ae,es,1,23
ae,lk,1,37
ae,sd,0,69
ae,se,0
ae,ch,0,8
ae,sy,1,01
ae,tw,0
ae,tz,0,04
ae,th,0,12
ae,tn,0,31
ae,tr,1,17
ae,ug,0,16
ae,ua,1,39
ae,gb,12,41
ae,us,17
ae,uz,0,23
ae,ve,0,11
ae,vn,-0,06
ae,ps,0,79
ae,ye,0,19
ae,zw,0,32
af,au,2,18
af,br,3,36
af,ca,-1,01
af,cn,2,63
af,fr,2,74
af,de,0,56
af,in,3,47
af,id,0,45
af,ir,0,22
af,iq,-3,36
af,it,2,69
af,kw,-1,01
af,nl,1,34
af,pk,3,86
af,za,2,97
af,es,0,84
af,se,-0,06
af,tr,0,84
af,ae,-2,57
af,gb,-1,57
af,us,-12,03
al,be,-0,5
al,br,0,6
al,ca,-1,35
al,cn,2,84
al,fr,0,1
al,de,-3,84
al,gr,0,05
al,in,-0,65
al,it,2,99
al,nl,-0,1
al,ch,-0,35
al,tr,0
al,gb,-1,89
al,us,6,88
am,ca,-2,81
am,fr,-1,41
am,de,-6,93
am,ir,-0,4
am,ae,-2,51
am,gb,0
am,us,-3,31
ao,br,7,76
ao,ca,0,38
ao,cn,0,71
ao,fr,3,52
ao,in,1,76
ao,id,-0,08
ao,it,0,59
ao,na,3,52
ao,ng,0,71
ao,pt,23,24
ao,za,3,94
ao,es,0,5
ao,ae,0,13
ao,gb,5,2
ao,us,22,1
ar,au,-0,3
ar,at,-0,01
ar,be,-0,01
ar,bo,-0,03
ar,br,0,18
ar,ca,-0,02
ar,cl,-0,98
ar,cn,0,05
ar,co,-0,37
ar,cr,-0,08
ar,dk,-0,06
ar,do,-0,03
ar,ec,-0,13
ar,fr,-0,25
ar,de,-0,35
ar,in,0,04
ar,ie,-0,16
ar,il,-0,08
ar,it,-0,05
ar,mx,-0,42
ar,nl,-0,13
ar,nz,-0,23
ar,pa,-0,13
ar,py,-0,11
ar,pe,-0,22
ar,es,0,13
ar,ch,-0,07
ar,ae,-0,08
ar,gb,-0,2
ar,us,1,96
ar,uy,-0,05
ar,ve,1,99
at,ar,0,1
at,au,-0,64
at,be,-0,48
at,ba,1,04
at,br,0,65
at,bg,0,74
at,ca,0,61
at,cn,0,07
at,hr,1,4
at,cz,0,49
at,dk,0,03
at,eg,0,28
at,fi,0,33
at,fr,1,53
at,de,-0,95
at,gr,0,73
at,hk,-0,06
at,hu,3,56
at,in,1,16
at,ir,1,13
at,ie,-0,57
at,il,-0,19
at,it,3,96
at,jp,0,01
at,lu,-0,13
at,mx,0,21
at,nl,0,18
at,nz,0,01
at,no,-0,24
at,pl,0,73
at,pt,0,31
at,ro,1,41
at,rs,1,49
at,sg,0,04
at,sk,1,99
at,si,1,68
at,za,-0,01
at,es,1,4
at,se,-0,01
at,ch,-2,83
at,th,0,15
at,tr,0,43
at,ua,1,16
at,ae,-0,39
at,gb,-0,34
at,us,2,49
au,af,-0,05
au,ar,0,19
au,at,0,06
au,az,0
au,bh,0,03
au,bd,0,6
au,be,0,08
au,br,1,3
au,bg,0,04
au,kh,-0,06
au,ca,0,14
au,cl,-0,02
au,cn,1,23
au,co,0,24
au,hr,0,05
au,cy,0,02
au,cz,0,06
au,dk,-0,16
au,ec,-0,01
au,eg,0,18
au,ee,0,04
au,fj,-0,06
au,fi,0
au,fr,0,25
au,de,-0,41
au,gh,0,05
au,gr,0,07
au,hk,-0,69
au,hu,0,04
au,in,9,52
au,id,-0,14
au,ir,0,99
au,iq,0,04
au,ie,-0,74
au,il,0,05
au,it,0,32
au,jp,-0,01
au,jo,0,05
au,kz,-0,01
au,ke,0,05
au,kr,0,08
au,kw,0,04
au,lb,0,1
au,lt,0,02
au,lu,-0,01
au,my,0,22
au,mt,0
au,mu,0,02
au,mx,0,1
au,mn,-0,01
au,mm,-0,06
au,np,0,31
au,nl,0,13
au,nz,-0,15
au,ng,0,15
au,no,-0,12
au,om,0,08
au,pk,1,3
au,pg,-0,58
au,pe,0,06
au,ph,0,97
au,pl,0,18
au,pt,0,08
au,qa,0,04
au,ro,0,07
au,sa,-0,26
au,rs,0,05
au,sg,0
au,sk,0,05
au,za,1,31
au,es,0,25
au,lk,0,88
au,se,-0,12
au,ch,-0,06
au,tw,0,04
au,tz,-0,02
au,th,0,14
au,tr,0,17
au,ua,0,1
au,ae,0,35
au,gb,0,8
au,us,3,41
au,ve,0,14
au,vn,0,11
au,zm,-0,03
au,zw,0,06
az,au,0,17
az,ca,-1,82
az,cn,1,27
az,fr,-0,28
az,ge,-0,39
az,de,-0,55
az,it,-0,39
az,kz,-0,33
az,nl,0,44
az,tr,-5,2
az,ua,0,55
az,ae,-3,21
az,gb,2,76
az,us,7,02
ba,at,-5,24
ba,hr,-4,05
ba,de,-8,91
ba,rs,-2,62
ba,tr,-1,5
ba,gb,-0,37
ba,us,8,24
bd,au,-4,11
bd,ca,-3,57
bd,cn,-0,39
bd,fr,0,09
bd,de,-0,81
bd,hk,0,12
bd,in,0,41
bd,it,0,11
bd,jp,0,31
bd,kr,-0,13
bd,my,-0,63
bd,nl,-0,08
bd,nz,-0,45
bd,no,0,41
bd,qa,-0,28
bd,sa,0,25
bd,sg,-0,32
bd,lk,0,04
bd,se,-0,13
bd,th,0,04
bd,tr,0,06
bd,ae,0,48
bd,gb,1,03
bd,us,9,71
be,al,0,04
be,dz,-0,06
be,ar,0,02
be,au,-0,25
be,at,0,13
be,bj,0,08
be,br,0,38
be,bg,0,16
be,cm,0,06
be,ca,-0,27
be,cl,-0,03
be,cn,0
be,co,-0,06
be,cd,-0,32
be,ci,0,03
be,hr,0,19
be,cy,-0,01
be,cz,0,02
be,dk,0,13
be,eg,0,05
be,ee,-0,01
be,fi,0,02
be,fr,4,3
be,de,-0,85
be,gr,0,48
be,hk,-0,1
be,hu,0,23
be,in,0,68
be,id,0,01
be,ir,0,05
be,ie,-0,25
be,il,-0,04
be,it,1,76
be,jp,-0,08
be,ke,-0,02
be,kr,-0,04
be,lv,-0,01
be,lb,0,09
be,lt,-0,04
be,lu,-2,99
be,my,0,02
be,mt,0
be,mx,0,06
be,ma,0,05
be,nl,2,06
be,nz,-0,07
be,no,-0,1
be,pk,0,08
be,pe,0,02
be,ph,0,04
be,pl,0,06
be,pt,0,53
be,qa,-0,07
be,ro,0,73
be,sa,0,01
be,sn,0,02
be,rs,0,1
be,sg,-0,2
be,sk,0,04
be,si,0,07
be,za,-0,04
be,es,0,3
be,se,-0,12
be,ch,-0,83
be,tw,0,05
be,th,-0,09
be,tn,0,04
be,tr,0,18
be,ua,0,21
be,ae,-0,49
be,gb,-1,51
be,us,1,02
be,vn,-0,04
bf,ca,1,84
bf,ci,-1,46
bf,fr,6,51
bf,sn,0,78
bf,us,7,48
bg,au,-0,62
bg,at,-1,03
bg,be,-0,81
bg,ca,-0,14
