origin,destination,count,cat
lu,fr,15068,Pos
ae,in,9175,Pos
qa,in,7144,Pos
pa,ve,6058,Pos
ng,gb,5530,Pos
mw,us,4982,Pos
lu,be,4967,Pos
pg,au,4558,Pos
zm,gb,4327,Pos
ke,us,4035,Pos
zw,us,3860,Pos
ng,us,3712,Pos
bh,in,3685,Pos
ch,fr,3612,Pos
cd,us,3427,Pos
zm,us,3360,Pos
kw,in,3255,Pos
ir,us,3247,Pos
pg,us,2981,Pos
tz,us,2960,Pos
sa,us,2905,Pos
sd,us,2893,Pos
ga,fr,2858,Pos
lu,de,2537,Pos
sa,in,2394,Pos
ae,pk,2363,Pos
ps,il,2338,Pos
ao,pt,2324,Pos
om,in,2282,Pos
na,us,2239,Pos
ao,us,2210,Pos
mz,us,2169,Pos
za,us,2130,Pos
cy,tr,2111,Pos
na,za,2090,Pos
sg,in,2027,Pos
ge,us,2021,Pos
mt,it,2010,Pos
ug,us,2010,Pos
et,us,1949,Pos
id,us,1787,Pos
gh,us,1766,Pos
ga,us,1709,Pos
ae,us,1700,Pos
lu,it,1647,Pos
bw,gb,1588,Pos
mw,gb,1585,Pos
qa,eg,1562,Pos
cd,fr,1540,Pos
ml,us,1519,Pos
kh,us,1499,Pos
mm,us,1477,Pos
za,gb,1426,Pos
cd,za,1413,Pos
rw,us,1391,Pos
ch,it,1369,Pos
iq,us,1347,Pos
hn,gt,1346,Pos
bj,us,1302,Pos
ga,gb,1289,Pos
sa,eg,1276,Pos
ae,gb,1241,Pos
sa,pk,1235,Pos
sg,my,1232,Pos
nz,in,1229,Pos
ch,de,1212,Pos
qa,ph,1200,Pos
ht,us,1186,Pos
bw,us,1183,Pos
mm,sg,1175,Pos
mn,us,1147,Pos
kw,us,1146,Pos
ps,us,1146,Pos
ae,ph,1091,Pos
bs,us,1071,Pos
cd,rw,1047,Pos
ie,br,1016,Pos
lb,us,1016,Pos
ml,fr,1005,Pos
mm,th,988,Pos
cu,es,983,Pos
bd,us,971,Pos
om,us,958,Pos
kw,eg,955,Pos
au,in,952,Pos
qa,us,951,Pos
eg,us,946,Pos
bh,us,929,Pos
ae,eg,920,Pos
py,us,913,Pos
mu,us,904,Pos
mg,us,900,Pos
pa,us,892,Pos
bh,pk,888,Pos
mz,pt,869,Pos
mt,gb,856,Pos
zw,is,852,Pos
kh,vn,843,Pos
ly,us,841,Pos
ba,us,824,Pos
lk,us,823,Pos
zm,za,820,Pos
cl,ve,817,Pos
ec,us,816,Pos
hr,us,816,Pos
qa,gb,809,Pos
hk,cn,788,Pos
hk,gb,784,Pos
ao,br,776,Pos
cd,gb,773,Pos
sy,us,773,Pos
qa,sa,768,Pos
fj,us,767,Pos
lu,ro,750,Pos
bf,us,748,Pos
pl,ua,742,Pos
ee,ua,740,Pos
ni,us,738,Pos
lu,es,730,Pos
hn,us,724,Pos
az,us,702,Pos
ec,ve,693,Pos
al,us,688,Pos
lt,us,680,Pos
lu,nl,677,Pos
uy,us,673,Pos
