origin,destination,count,cat,year
ae,af,5,Neg,2018
ae,af,2,Neg,2019
ae,am,1,Neg,2018
ae,ao,6,Neg,2019
ae,ao,2,Neg,2018
ae,ao,1,Neg,2015
ae,at,16,Neg,2019
ae,at,8,Neg,2016
ae,at,7,Neg,2017
ae,at,5,Neg,2018
ae,au,458,Neg,2018
ae,au,409,Neg,2019
ae,au,401,Neg,2017
ae,au,331,Neg,2016
ae,au,106,Neg,2015
ae,bd,26,Neg,2017
ae,bd,21,Neg,2015
ae,bd,21,Neg,2016
ae,bd,18,Neg,2018
ae,bd,4,Neg,2019
ae,be,9,Neg,2018
ae,be,6,Neg,2019
ae,be,1,Neg,2017
ae,bg,7,Neg,2017
ae,bg,4,Neg,2019
ae,bg,2,Neg,2018
ae,bh,7,Neg,2018
ae,ca,889,Neg,2019
ae,ca,813,Neg,2018
ae,ca,603,Neg,2017
ae,ca,464,Neg,2016
ae,ca,296,Neg,2015
ae,ch,34,Neg,2019
ae,ch,30,Neg,2017
ae,ch,30,Neg,2018
ae,cl,2,Neg,2017
ae,cy,8,Neg,2018
ae,cy,5,Neg,2019
ae,cy,4,Neg,2016
ae,cy,3,Neg,2017
ae,cz,15,Neg,2018
ae,cz,7,Neg,2017
ae,cz,4,Neg,2019
ae,de,175,Neg,2018
ae,de,174,Neg,2019
ae,de,122,Neg,2017
ae,de,81,Neg,2016
ae,dk,27,Neg,2018
ae,dk,22,Neg,2019
ae,dk,16,Neg,2017
ae,dk,7,Neg,2016
ae,es,42,Neg,2018
ae,es,17,Neg,2017
ae,es,15,Neg,2019
ae,et,2,Neg,2018
ae,fi,15,Neg,2018
ae,fi,13,Neg,2019
ae,fi,5,Neg,2017
ae,fr,8,Neg,2018
ae,gb,403,Neg,2019
ae,gb,178,Neg,2018
ae,ge,8,Neg,2019
ae,ge,2,Neg,2016
ae,ge,1,Neg,2017
ae,ge,1,Neg,2018
ae,gr,12,Neg,2019
ae,gr,3,Neg,2018
ae,hk,14,Neg,2017
ae,hk,14,Neg,2018
ae,hk,12,Neg,2019
ae,hk,7,Neg,2016
ae,hr,3,Neg,2019
ae,hu,11,Neg,2018
ae,hu,7,Neg,2019
ae,hu,3,Neg,2017
ae,ie,54,Neg,2019
ae,ie,39,Neg,2018
ae,ie,13,Neg,2017
ae,iq,47,Neg,2019
ae,iq,27,Neg,2018
ae,iq,20,Neg,2015
ae,ir,18,Neg,2015
ae,ir,18,Neg,2016
ae,ir,10,Neg,2017
ae,jp,17,Neg,2018
ae,jp,15,Neg,2019
ae,jp,1,Neg,2017
ae,kr,4,Neg,2016
ae,kr,3,Neg,2018
ae,kr,2,Neg,2017
ae,lu,12,Neg,2018
ae,lu,10,Neg,2019
ae,lu,4,Neg,2017
